127.0.0.1, 2015-10-29 22:35:35, GET, /, HTTP/1.1, 303, 0.017000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/default/index, HTTP/1.1, 200, 1.150000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.014000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.025000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/images/twitter.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/images/facebook.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-29 22:35:36, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-29 22:35:37, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:35:37, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.002000
127.0.0.1, 2015-10-29 22:36:00, GET, /favicon.ico, HTTP/1.1, 400, 0.001000
127.0.0.1, 2015-10-29 22:36:03, GET, /main, HTTP/1.1, 200, 0.835000
127.0.0.1, 2015-10-29 22:36:03, GET, /main/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-10-29 22:36:03, GET, /main/static/css/bootstrap-theme.min.css, HTTP/1.1, 200, 0.007000
127.0.0.1, 2015-10-29 22:36:03, GET, /main/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2015-10-29 22:36:03, GET, /main/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:36:03, GET, /main/static/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2015-10-29 22:36:03, GET, /main/static/css/calendar.css, HTTP/1.1, 200, 0.012000
127.0.0.1, 2015-10-29 22:36:03, GET, /main/static/js/jquery.js, HTTP/1.1, 200, 0.011000
127.0.0.1, 2015-10-29 22:36:03, GET, /main/static/js/web2py.js, HTTP/1.1, 200, 0.013000
127.0.0.1, 2015-10-29 22:36:03, GET, /main/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.012000
